location,date_time,temperature,precipitation,wind_speed
Athens,2025-02-26 22:00:00,8.9,0.0,0.6
Athens,2025-02-26 23:00:00,8.2,0.0,0.8
Athens,2025-02-27 00:00:00,7.5,0.0,1.0
Athens,2025-02-27 01:00:00,7.1,0.0,1.0
Athens,2025-02-27 02:00:00,7.1,0.0,0.9
Athens,2025-02-27 03:00:00,7.4,0.0,0.9
Athens,2025-02-27 04:00:00,7.4,0.0,0.7
Athens,2025-02-27 05:00:00,7.6,0.0,0.7
Athens,2025-02-27 06:00:00,8.7,0.0,0.6
Athens,2025-02-27 07:00:00,11.2,0.0,0.2
Athens,2025-02-27 08:00:00,12.4,0.0,0.2
Athens,2025-02-27 09:00:00,13.9,0.0,0.4
Athens,2025-02-27 10:00:00,14.5,0.0,1.1
Athens,2025-02-27 11:00:00,14.7,0.0,1.8
Athens,2025-02-27 12:00:00,14.7,0.0,1.6
Athens,2025-02-27 13:00:00,14.5,0.0,1.7
Athens,2025-02-27 14:00:00,14.3,0.0,1.7
Athens,2025-02-27 15:00:00,14.1,0.0,1.8
Athens,2025-02-27 16:00:00,13.6,0.0,1.3
Athens,2025-02-27 17:00:00,13.0,0.0,0.8
Athens,2025-02-27 18:00:00,12.5,0.0,0.3
Athens,2025-02-27 19:00:00,12.0,0.0,0.4
Athens,2025-02-27 20:00:00,11.4,0.0,0.6
Athens,2025-02-27 21:00:00,10.9,0.0,0.8
Athens,2025-02-27 22:00:00,10.7,0.55,0.6
Athens,2025-02-27 23:00:00,10.6,0.54,0.5
Athens,2025-02-28 00:00:00,10.4,0.54,0.4
Athens,2025-02-28 01:00:00,9.9,0.0,0.5
Athens,2025-02-28 02:00:00,9.4,0.0,0.6
Athens,2025-02-28 03:00:00,8.9,0.0,0.7
Athens,2025-02-28 04:00:00,8.8,0.0,0.8
Athens,2025-02-28 05:00:00,9.0,0.0,0.9
Athens,2025-02-28 06:00:00,9.0,0.0,1.0
Athens,2025-02-28 07:00:00,11.0,0.0,0.8
Athens,2025-02-28 08:00:00,12.9,0.0,0.7
Athens,2025-02-28 09:00:00,14.8,0.0,0.6
Athens,2025-02-28 10:00:00,15.3,0.0,0.9
Athens,2025-02-28 11:00:00,15.7,0.0,1.1
Athens,2025-02-28 12:00:00,16.2,0.0,1.4
Athens,2025-02-28 13:00:00,15.9,0.14,1.1
Athens,2025-02-28 14:00:00,15.6,0.14,0.8
Athens,2025-02-28 15:00:00,15.3,0.14,0.5
Athens,2025-02-28 16:00:00,14.1,0.0,0.6
Athens,2025-02-28 17:00:00,12.8,0.0,0.7
Athens,2025-02-28 18:00:00,11.7,0.0,0.8
Athens,2025-02-28 19:00:00,11.3,0.0,0.8
Athens,2025-02-28 20:00:00,10.9,0.0,0.7
Athens,2025-02-28 21:00:00,10.5,0.0,0.6
Athens,2025-02-28 22:00:00,10.2,0.0,0.7
Athens,2025-02-28 23:00:00,9.8,0.0,0.7
Athens,2025-03-01 00:00:00,9.4,0.0,0.7
Athens,2025-03-01 01:00:00,8.9,0.0,0.7
Athens,2025-03-01 02:00:00,8.4,0.0,0.6
Athens,2025-03-01 03:00:00,7.8,0.0,0.6
Athens,2025-03-01 04:00:00,8.1,0.0,0.6
Athens,2025-03-01 05:00:00,8.6,0.0,0.7
Athens,2025-03-01 06:00:00,8.9,0.0,0.7
Athens,2025-03-01 07:00:00,10.7,0.0,0.8
Athens,2025-03-01 08:00:00,12.5,0.0,0.9
Athens,2025-03-01 09:00:00,14.3,0.0,1.0
Athens,2025-03-01 10:00:00,14.9,0.0,1.1
Athens,2025-03-01 11:00:00,15.4,0.0,1.2
Athens,2025-03-01 12:00:00,15.9,0.0,1.4
Athens,2025-03-01 13:00:00,15.6,0.0,1.4
Athens,2025-03-01 14:00:00,15.3,0.0,1.5
Athens,2025-03-01 15:00:00,14.9,0.0,1.5
Athens,2025-03-01 16:00:00,13.9,0.0,1.2
Athens,2025-03-01 17:00:00,12.7,0.0,0.9
Athens,2025-03-01 18:00:00,11.7,0.0,0.5
Athens,2025-03-01 19:00:00,11.1,0.0,0.8
Athens,2025-03-01 20:00:00,10.5,0.0,1.1
Athens,2025-03-01 21:00:00,10.0,0.0,1.3
Athens,2025-03-01 22:00:00,9.6,0.0,1.3
Athens,2025-03-01 23:00:00,9.2,0.0,1.3
Athens,2025-03-02 00:00:00,8.8,0.0,1.2
Athens,2025-03-02 01:00:00,8.6,0.0,1.4
Athens,2025-03-02 02:00:00,8.5,0.0,1.6
Athens,2025-03-02 03:00:00,8.3,0.0,1.8
Athens,2025-03-02 04:00:00,8.9,0.0,1.9
Athens,2025-03-02 05:00:00,9.8,0.0,1.9
Athens,2025-03-02 06:00:00,10.5,0.0,2.0
Athens,2025-03-02 07:00:00,11.8,0.0,1.8
Athens,2025-03-02 08:00:00,13.2,0.0,1.6
Athens,2025-03-02 09:00:00,14.6,0.0,1.5
Athens,2025-03-02 10:00:00,15.1,0.0,1.4
Athens,2025-03-02 11:00:00,15.5,0.0,1.4
Athens,2025-03-02 12:00:00,16.0,0.0,1.4
Athens,2025-03-02 13:00:00,15.6,0.0,1.3
Athens,2025-03-02 14:00:00,15.1,0.0,1.2
Athens,2025-03-02 15:00:00,14.6,0.0,1.1
Athens,2025-03-02 16:00:00,14.0,0.0,1.3
Athens,2025-03-02 17:00:00,13.3,0.0,1.6
Athens,2025-03-02 18:00:00,12.7,0.0,1.8
Athens,2025-03-02 19:00:00,12.3,0.0,1.9
Athens,2025-03-02 20:00:00,11.8,0.0,2.1
Athens,2025-03-02 21:00:00,11.4,0.0,2.2
Athens,2025-03-02 22:00:00,11.0,0.0,2.2
Athens,2025-03-02 23:00:00,10.6,0.0,2.3
Athens,2025-03-03 00:00:00,10.1,0.0,2.3
Athens,2025-03-03 01:00:00,9.8,0.0,2.1
Athens,2025-03-03 02:00:00,9.5,0.0,1.9
Athens,2025-03-03 03:00:00,9.2,0.0,1.7
Athens,2025-03-03 04:00:00,9.0,0.0,1.8
Athens,2025-03-03 05:00:00,9.0,0.0,1.8
Athens,2025-03-03 06:00:00,8.9,0.0,1.8
Athens,2025-03-03 07:00:00,10.9,0.0,1.6
Athens,2025-03-03 08:00:00,13.0,0.0,1.4
Athens,2025-03-03 09:00:00,15.0,0.0,1.3
Athens,2025-03-03 10:00:00,15.4,0.0,1.4
Athens,2025-03-03 11:00:00,15.6,0.0,1.5
Athens,2025-03-03 12:00:00,15.9,0.0,1.6
Athens,2025-03-03 13:00:00,15.0,0.0,1.7
Athens,2025-03-03 14:00:00,14.1,0.0,1.7
Athens,2025-03-03 15:00:00,13.1,0.0,1.8
Athens,2025-03-03 16:00:00,12.2,0.0,1.8
Athens,2025-03-03 17:00:00,11.0,0.0,1.9
Athens,2025-03-03 18:00:00,10.1,0.0,1.9
Athens,2025-03-03 19:00:00,9.7,0.0,1.8
Athens,2025-03-03 20:00:00,9.4,0.0,1.6
Athens,2025-03-03 21:00:00,9.1,0.0,1.4
Athens,2025-03-03 22:00:00,8.8,0.0,1.3
Athens,2025-03-03 23:00:00,8.5,0.0,1.1
Rome,2025-02-25 00:00:00,10.3,0.0,1.5
Rome,2025-02-25 01:00:00,10.2,0.0,1.4
Rome,2025-02-25 02:00:00,10.2,0.23,0.8
Rome,2025-02-25 03:00:00,10.1,0.02,1.0
Rome,2025-02-25 04:00:00,10.3,0.0,1.9
Rome,2025-02-25 05:00:00,10.3,0.0,2.0
Rome,2025-02-25 06:00:00,10.6,0.05,2.5
Rome,2025-02-25 07:00:00,11.1,0.34,2.2
Rome,2025-02-25 08:00:00,12.1,0.08,2.3
Rome,2025-02-25 09:00:00,13.0,0.0,2.6
Rome,2025-02-25 10:00:00,14.4,0.0,2.6
Rome,2025-02-25 11:00:00,15.7,0.0,3.1
Rome,2025-02-25 12:00:00,14.5,0.0,3.8
Rome,2025-02-25 13:00:00,13.1,0.0,3.4
Rome,2025-02-25 14:00:00,13.6,0.13,3.2
Rome,2025-02-25 15:00:00,13.9,0.49,2.7
Rome,2025-02-25 16:00:00,13.3,0.22,2.4
Rome,2025-02-25 17:00:00,11.8,0.91,3.0
Rome,2025-02-25 18:00:00,11.5,0.0,1.8
Rome,2025-02-25 19:00:00,11.1,0.0,2.0
Rome,2025-02-25 20:00:00,11.1,0.0,2.3
Rome,2025-02-25 21:00:00,11.2,0.0,2.6
Rome,2025-02-25 22:00:00,10.8,0.0,2.6
Rome,2025-02-25 23:00:00,10.5,0.0,2.2
Rome,2025-02-26 00:00:00,10.2,0.0,2.0
Rome,2025-02-26 01:00:00,10.2,0.82,1.6
Rome,2025-02-26 02:00:00,10.1,2.07,1.7
Rome,2025-02-26 03:00:00,10.6,0.21,2.9
Rome,2025-02-26 04:00:00,10.6,0.67,3.1
Rome,2025-02-26 05:00:00,10.3,1.96,2.7
Rome,2025-02-26 06:00:00,10.6,0.45,3.1
Rome,2025-02-26 07:00:00,10.7,1.35,3.3
Rome,2025-02-26 08:00:00,11.4,3.5,3.6
Rome,2025-02-26 09:00:00,13.0,0.12,3.9
Rome,2025-02-26 10:00:00,14.0,0.19,4.6
Rome,2025-02-26 11:00:00,14.5,0.14,4.4
Rome,2025-02-26 12:00:00,14.9,0.0,4.9
Rome,2025-02-26 13:00:00,14.9,0.0,4.6
Rome,2025-02-26 14:00:00,14.1,0.0,4.1
Rome,2025-02-26 15:00:00,13.2,0.0,3.7
Rome,2025-02-26 16:00:00,12.6,0.0,2.6
Rome,2025-02-26 17:00:00,11.6,0.0,2.3
Rome,2025-02-26 18:00:00,11.1,0.0,2.2
Rome,2025-02-26 19:00:00,10.7,0.0,2.1
Rome,2025-02-26 20:00:00,10.5,0.0,2.3
Rome,2025-02-26 21:00:00,10.2,0.0,2.5
Rome,2025-02-26 22:00:00,10.0,0.0,2.6
Rome,2025-02-26 23:00:00,9.9,0.0,2.3
Rome,2025-02-27 00:00:00,9.6,0.0,1.8
Rome,2025-02-27 01:00:00,9.1,0.0,1.6
Rome,2025-02-27 02:00:00,8.9,0.0,1.8
Rome,2025-02-27 03:00:00,8.0,0.0,1.5
Rome,2025-02-27 04:00:00,7.3,0.0,1.6
Rome,2025-02-27 05:00:00,6.7,0.0,1.6
Rome,2025-02-27 06:00:00,6.3,0.0,1.3
Rome,2025-02-27 07:00:00,7.7,0.0,1.4
Rome,2025-02-27 08:00:00,9.5,0.0,1.2
Rome,2025-02-27 09:00:00,11.5,0.0,1.1
Rome,2025-02-27 10:00:00,12.5,0.1,1.1
Rome,2025-02-27 11:00:00,13.3,0.18,1.5
Rome,2025-02-27 12:00:00,13.8,0.0,1.8
Rome,2025-02-27 13:00:00,13.9,0.0,1.8
Rome,2025-02-27 14:00:00,14.0,0.0,1.7
Rome,2025-02-27 15:00:00,14.2,0.0,1.7
Rome,2025-02-27 16:00:00,12.9,0.0,1.7
Rome,2025-02-27 17:00:00,11.7,0.0,1.8
Rome,2025-02-27 18:00:00,10.4,0.0,1.8
Rome,2025-02-27 19:00:00,9.7,0.0,1.5
Rome,2025-02-27 20:00:00,9.0,0.0,1.1
Rome,2025-02-27 21:00:00,8.3,0.0,0.8
Rome,2025-02-27 22:00:00,7.7,0.0,0.8
Rome,2025-02-27 23:00:00,7.0,0.0,0.8
Rome,2025-02-28 00:00:00,6.4,0.0,0.8
Rome,2025-02-28 01:00:00,6.0,0.0,1.0
Rome,2025-02-28 02:00:00,5.7,0.0,1.3
Rome,2025-02-28 03:00:00,5.3,0.0,1.5
Rome,2025-02-28 04:00:00,5.2,0.0,1.6
Rome,2025-02-28 05:00:00,5.0,0.0,1.7
Rome,2025-02-28 06:00:00,4.9,0.0,1.8
Rome,2025-02-28 07:00:00,7.2,0.0,1.4
Rome,2025-02-28 08:00:00,9.5,0.0,1.0
Rome,2025-02-28 09:00:00,11.9,0.0,0.6
